timestamp_local,record_type,event_type,event_msg,q_exp_0,q_exp_1,q_exp_2,q_exp_3,q_exp_4,q_exp_5,q_exp_6,q_exp_7,q_exp_8,q_exp_9,dq_exp_0,dq_exp_1,dq_exp_2,dq_exp_3,dq_exp_4,dq_exp_5,dq_exp_6,dq_exp_7,dq_exp_8,dq_exp_9,tau_exp_0,tau_exp_1,tau_exp_2,tau_exp_3,tau_exp_4,tau_exp_5,tau_exp_6,tau_exp_7,tau_exp_8,tau_exp_9,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,omega_x,omega_y,omega_z,acc_x,acc_y,acc_z,raw_roll,raw_pitch,raw_yaw,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z
2026-05-10 15:53:01.704709,inference,,,-0.0026853,-0.018854,0.735027,1.5215,0.880716,0.0138949,-0.161145,-0.754083,-1.53529,-0.870882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802815,0.0150681,-0.167277,-0.741016,-1.80152,-0.799382,0.021286,-0.000152588,-0.000686646,-0.000686646,-0.000686646,-0.000686646,-0.0050354,-0.000686646,-0.000686646,-0.000686646,0.333807,-0.000411987,0.780957,-2.87718,1.07796,-0.281437,0.131427,-0.596018,3.14049,-0.972854,0.000532632,0.00479369,-0.00905475,3.03349,-0.457302,10.3024,-0.0346589,-0.010786,0.562356,-0.0319412,-0.0116495,0.563932,0.960571,-0.0151217,-0.00999469,0.277363
2026-05-10 15:53:01.710225,inference,,,-0.00282985,-0.018854,0.734105,1.5215,0.880707,0.0139446,-0.161145,-0.753355,-1.53529,-0.871063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.8019,-0.799382,-0.0226593,-0.000152588,-0.000686646,-0.000686646,-0.0226593,0.021286,-0.000152588,0.021286,-0.000686646,-0.0226593,0.333807,0.0127716,0.780957,-2.87132,1.07796,-0.275578,0.118244,-0.605783,3.14049,-0.966995,0.00266316,0.00692422,-0.0111853,3.03349,-0.466879,10.2689,-0.0346589,-0.0132787,0.56226,-0.0319412,-0.0141422,0.563836,0.960571,-0.0148165,-0.0111849,0.277272
2026-05-10 15:53:01.715649,inference,,,-0.00285146,-0.018854,0.732885,1.5215,0.88075,0.0138668,-0.161145,-0.752465,-1.53529,-0.871188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75841,0.802815,0.0150681,-0.167277,-0.740635,-1.8019,-0.799382,-0.0226593,-0.000152588,-0.000686646,0.021286,-0.000686646,0.021286,-0.000152588,-0.000686646,-0.000686646,0.021286,0.333807,0.0127716,0.790722,-2.87132,1.0721,-0.269719,0.131427,-0.605783,3.14049,-0.961136,0.0015979,0.00692422,-0.01012,3.04307,-0.471667,10.2928,-0.0347548,-0.0156755,0.562164,-0.0320371,-0.0165391,0.56374,0.960601,-0.0145113,-0.0123445,0.277211
2026-05-10 15:53:01.720827,inference,,,-0.00298473,-0.018854,0.731926,1.5215,0.880839,0.0139817,-0.161145,-0.751635,-1.53529,-0.871473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.80152,-0.799382,-0.0226593,-0.000152588,-0.000686646,-0.000686646,-0.0226593,-0.000686646,-0.000152588,-0.000686646,0.0432587,-0.0226593,0.333807,0.0127716,0.790722,-2.87718,1.0721,-0.269719,0.118244,-0.605783,3.14635,-0.972854,0.0015979,0.00692422,-0.01012,3.04307,-0.471667,10.2928,-0.0347548,-0.0156755,0.562164,-0.0320371,-0.0165391,0.56374,0.960601,-0.0145113,-0.0123445,0.277211
2026-05-10 15:53:01.725948,inference,,,-0.00309851,-0.018854,0.730911,1.5215,0.880886,0.0140198,-0.161145,-0.750802,-1.53529,-0.871644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.80152,-0.799382,-0.0226593,-0.0050354,0.021286,-0.000686646,-0.0226593,0.021286,-0.000152588,-0.0226593,0.021286,-0.0226593,0.327946,0.0127716,0.790722,-2.87132,1.07796,-0.269719,0.118244,-0.596018,3.14049,-0.972854,0.000532632,0.00479369,-0.00585896,3.07661,-0.476455,10.3263,-0.0348507,-0.0180724,0.562068,-0.032133,-0.0189359,0.563644,0.960601,-0.0142367,-0.0135347,0.27715
2026-05-10 15:53:01.731049,inference,,,-0.00314648,-0.018854,0.729804,1.5215,0.880985,0.0139946,-0.161145,-0.750133,-1.53529,-0.871775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75841,0.802433,0.0150681,-0.167277,-0.741016,-1.8019,-0.799382,-0.000686646,-0.000152588,-0.0226593,-0.000686646,0.021286,-0.000686646,0.00473022,-0.0226593,-0.0226593,0.021286,0.333807,-0.000411987,0.780957,-2.87718,1.0721,-0.269719,0.118244,-0.605783,3.13463,-0.966995,0.000532632,0.00479369,-0.00585896,3.07661,-0.476455,10.3263,-0.0348507,-0.0180724,0.562068,-0.032133,-0.0189359,0.563644,0.960601,-0.0142367,-0.0135347,0.27715
2026-05-10 15:53:01.735939,inference,,,-0.00324397,-0.018854,0.728639,1.5215,0.8811,0.0140118,-0.161145,-0.749239,-1.53529,-0.871926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802815,0.0150681,-0.167277,-0.740635,-1.8019,-0.799382,-0.000686646,0.00473022,-0.000686646,-0.000686646,0.021286,-0.000686646,-0.000152588,0.021286,-0.000686646,-0.000686646,0.327946,0.0127716,0.790722,-2.87132,1.0721,-0.269719,0.118244,-0.605783,3.14635,-0.961136,-0.00266316,0.00585896,-0.00479369,3.06703,-0.481244,10.3263,-0.0349465,-0.0204694,0.562068,-0.0322288,-0.0213329,0.563644,0.960601,-0.0139315,-0.0146945,0.277119
2026-05-10 15:53:01.741118,inference,,,-0.00339109,-0.018854,0.727767,1.5215,0.881224,0.0140723,-0.161145,-0.748439,-1.53529,-0.87213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.8019,-0.799382,-0.000686646,-0.0050354,-0.000686646,-0.000686646,-0.0226593,-0.000686646,-0.000152588,-0.000686646,-0.000686646,-0.000686646,0.327946,0.0127716,0.790722,-2.87718,1.0721,-0.275578,0.131427,-0.605783,3.14049,-0.961136,-0.00266316,0.00585896,-0.00479369,3.06703,-0.481244,10.3263,-0.0349465,-0.0204694,0.562068,-0.0322288,-0.0213329,0.563644,0.960601,-0.0139315,-0.0146945,0.277119
2026-05-10 15:53:01.745892,inference,,,-0.00342185,-0.018854,0.726727,1.5215,0.881375,0.0140006,-0.161145,-0.747616,-1.53529,-0.872223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.8019,-0.799382,-0.000686646,-0.000152588,-0.000686646,-0.000686646,0.021286,-0.0226593,-0.000152588,-0.0226593,-0.0226593,-0.000686646,0.327946,0.0127716,0.790722,-2.87132,1.07796,-0.263859,0.131427,-0.605783,3.13463,-0.966995,-0.000532632,0.00479369,-0.000532632,3.07182,-0.452513,10.3216,-0.0350424,-0.0228663,0.561972,-0.0323247,-0.0237298,0.563549,0.960601,-0.0136568,-0.0158541,0.277089
2026-05-10 15:53:01.750616,inference,,,-0.00352384,-0.018854,0.725899,1.5215,0.881531,0.0140361,-0.161145,-0.746851,-1.53529,-0.872393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.80152,-0.799382,-0.0226593,-0.000152588,-0.000686646,-0.000686646,-0.044632,-0.000686646,-0.000152588,0.021286,0.021286,0.021286,0.327946,0.0127716,0.790722,-2.87718,1.06038,-0.258,0.131427,-0.605783,3.13463,-0.961136,-0.000532632,0.00479369,-0.000532632,3.07182,-0.452513,10.3216,-0.0350424,-0.0228663,0.561972,-0.0323247,-0.0237298,0.563549,0.960601,-0.0136568,-0.0158541,0.277089
2026-05-10 15:53:01.755344,inference,,,-0.00364057,-0.018854,0.725183,1.5215,0.881661,0.0140966,-0.161145,-0.746239,-1.53529,-0.872524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.741016,-1.8019,-0.799382,-0.000686646,-0.000152588,-0.000686646,-0.0226593,-0.0226593,-0.000686646,-0.000152588,-0.000686646,-0.000686646,0.021286,0.333807,0.0127716,0.790722,-2.86546,1.06624,-0.269719,0.131427,-0.605783,3.14049,-0.961136,-0.000532632,0.00479369,-0.000532632,3.07182,-0.452513,10.3216,-0.0350424,-0.0228663,0.561972,-0.0323247,-0.0237298,0.563549,0.960601,-0.0136568,-0.0158541,0.277089
2026-05-10 15:53:01.760232,inference,,,-0.00366507,-0.018854,0.724296,1.5215,0.881735,0.0140064,-0.161145,-0.745447,-1.53529,-0.872528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.8019,-0.799382,-0.000686646,-0.000152588,0.021286,0.021286,-0.000686646,-0.0226593,-0.000152588,0.021286,-0.0226593,-0.000686646,0.333807,0.0127716,0.790722,-2.87718,1.0721,-0.269719,0.131427,-0.605783,3.14049,-0.966995,-0.000532632,0.00266316,0.000532632,3.07661,-0.495609,10.3072,-0.0351383,-0.0252631,0.562068,-0.0324206,-0.0261266,0.563644,0.960571,-0.0133821,-0.0170138,0.277058
2026-05-10 15:53:01.765026,inference,,,-0.00370478,-0.018854,0.723563,1.5215,0.881885,0.0139761,-0.161145,-0.744647,-1.53529,-0.872652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.8019,-0.799382,0.021286,-0.0050354,-0.000686646,-0.000686646,-0.0226593,-0.000686646,-0.0050354,-0.0226593,-0.000686646,-0.000686646,0.333807,-0.000411987,0.790722,-2.87718,1.0721,-0.275578,0.131427,-0.605783,3.14049,-0.955276,-0.000532632,0.00266316,0.000532632,3.07661,-0.495609,10.3072,-0.0351383,-0.0252631,0.562068,-0.0324206,-0.0261266,0.563644,0.960571,-0.0133821,-0.0170138,0.277058
2026-05-10 15:53:01.769747,inference,,,-0.0037036,-0.018854,0.722554,1.5215,0.882077,0.0138858,-0.161145,-0.743674,-1.53529,-0.872669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75841,0.802433,0.0150681,-0.167277,-0.741016,-1.80152,-0.799382,-0.000686646,-0.000152588,-0.000686646,0.021286,0.021286,0.021286,-0.000152588,-0.0226593,0.021286,-0.0226593,0.327946,0.0127716,0.790722,-2.87132,1.06624,-0.269719,0.131427,-0.605783,3.14049,-0.961136,-0.000532632,-0.000532632,0.00585896,3.05743,-0.495609,10.3024,-0.0352342,-0.0276599,0.562068,-0.0325165,-0.0285235,0.563644,0.960571,-0.0131075,-0.0181735,0.277058
2026-05-10 15:53:01.774529,inference,,,-0.00383333,-0.018854,0.721764,1.5215,0.882236,0.0139471,-0.161145,-0.742882,-1.53529,-0.872842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0150681,-0.167277,-0.740635,-1.8019,-0.799382,0.021286,-0.000152588,-0.000686646,-0.0226593,-0.0226593,0.021286,-0.000152588,-0.000686646,-0.000686646,-0.0226593,0.327946,0.0127716,0.790722,-2.87132,1.06624,-0.263859,0.131427,-0.605783,3.13463,-0.961136,-0.000532632,-0.000532632,0.00585896,3.05743,-0.495609,10.3024,-0.0352342,-0.0276599,0.562068,-0.0325165,-0.0285235,0.563644,0.960571,-0.0131075,-0.0181735,0.277058
2026-05-10 15:53:01.779256,inference,,,-0.00392498,-0.018854,0.720858,1.5215,0.882389,0.0139082,-0.161145,-0.742056,-1.53529,-0.872935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022316,-0.0200272,0.723849,1.75803,0.802433,0.0154495,-0.167277,-0.740635,-1.8019,-0.799382,-0.000686646,-0.000152588,-0.000686646,-0.000686646,-0.000686646,0.021286,-0.000152588,-0.0226593,-0.0226593,-0.0226593,0.327946,0.0127716,0.790722,-2.87718,1.0721,-0.263859,0.131427,-0.605783,3.14049,-0.955276,-0.00266316,-0.000532632,0.00372843,3.08139,-0.476455,10.3072,-0.0354259,-0.0299609,0.562164,-0.0327082,-0.0308244,0.56374,0.96054,-0.0128328,-0.0193027,0.277089
